,0,1,2,3,4
0,Rank,Title,Score,,
1,1,"Sousou no Frieren  TV (28 eps)  Sep 2023 - Mar 2024  1,004,246 members",9.31,,Add to My List
2,2,"Fullmetal Alchemist: Brotherhood  TV (64 eps)  Apr 2009 - Jul 2010  3,466,829 members  Manga Store Volume 1 $8.99 Preview",9.10,,Add to My List
3,3,"One Piece Fan Letter  TV Special (1 eps)  Oct 2024 - Oct 2024  83,095 members",9.07,,Add to My List
4,4,"Steins;Gate  TV (24 eps)  Apr 2011 - Sep 2011  2,655,966 members",9.07,,Add to My List
5,5,"Shingeki no Kyojin Season 3 Part 2  TV (10 eps)  Apr 2019 - Jul 2019  2,392,830 members  Manga Store Volume 1 $15.99 Preview",9.05,,Add to My List
6,6,"Gintama°  TV (51 eps)  Apr 2015 - Mar 2016  653,977 members",9.05,,Add to My List
7,7,"Gintama: The Final  Movie (1 eps)  Jan 2021 - Jan 2021  162,041 members",9.04,,Add to My List
8,8,"Gintama'  TV (51 eps)  Apr 2011 - Mar 2012  577,907 members",9.03,,Add to My List
9,9,"Hunter x Hunter (2011)  TV (148 eps)  Oct 2011 - Sep 2014  2,964,698 members",9.03,,Add to My List
10,10,"Gintama': Enchousen  TV (13 eps)  Oct 2012 - Mar 2013  336,786 members",9.02,,Add to My List
11,11,"Ginga Eiyuu Densetsu  OVA (110 eps)  Jan 1988 - Mar 1997  335,911 members",9.01,,Add to My List
12,12,"Bleach: Sennen Kessen-hen  TV (13 eps)  Oct 2022 - Dec 2022  608,137 members",9.00,,Add to My List
13,13,"Kaguya-sama wa Kokurasetai: Ultra Romantic  TV (13 eps)  Apr 2022 - Jun 2022  1,000,439 members",8.99,,Add to My List
14,14,"Gintama.  TV (12 eps)  Jan 2017 - Mar 2017  326,658 members",8.98,,Add to My List
15,15,"Fruits Basket: The Final  TV (13 eps)  Apr 2021 - Jun 2021  511,106 members  Manga Store Volume 1 $12.99 Preview",8.96,,Add to My List
16,16,"Clannad: After Story  TV (24 eps)  Oct 2008 - Mar 2009  1,226,810 members",8.93,,Add to My List
17,17,"Gintama  TV (201 eps)  Apr 2006 - Mar 2010  1,099,509 members",8.93,,Add to My List
