,Rank,Title,Score,URL
0,1,Sousou no Frieren,"9.31
",https://myanimelist.net/anime/52991/Sousou_no_Frieren
1,2,Fullmetal Alchemist Brotherhood,"9.10
",https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
2,3,One Piece Fan Letter,"9.07
",https://myanimelist.net/anime/60022/One_Piece_Fan_Letter
3,4,Steins Gate,"9.07
",https://myanimelist.net/anime/9253/Steins_Gate
4,5,Shingeki no Kyojin Season 3 Part 2,"9.05
",https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
5,6,Gintama ,"9.05
",https://myanimelist.net/anime/28977/Gintama°
6,7,Gintama The Final,"9.04
",https://myanimelist.net/anime/39486/Gintama__The_Final
7,8,Gintama ,"9.03
",https://myanimelist.net/anime/9969/Gintama
8,9,Hunter x Hunter 2011 ,"9.03
",https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
9,10,Gintama Enchousen,"9.02
",https://myanimelist.net/anime/15417/Gintama__Enchousen
10,11,Ginga Eiyuu Densetsu,"9.01
",https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
11,12,Bleach Sennen Kessen hen,"9.00
",https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
12,13,Kaguya sama wa Kokurasetai Ultra Romantic,"8.99
",https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
13,14,Gintama ,"8.98
",https://myanimelist.net/anime/34096/Gintama
14,15,Fruits Basket The Final,"8.96
",https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
15,16,Clannad After Story,"8.93
",https://myanimelist.net/anime/4181/Clannad__After_Story
16,17,Gintama,"8.93
",https://myanimelist.net/anime/918/Gintama
17,18,Koe no Katachi,"8.93
",https://myanimelist.net/anime/28851/Koe_no_Katachi
18,19,3 gatsu no Lion 2nd Season,"8.91
",https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
19,20,Code Geass Hangyaku no Lelouch R2,"8.91
",https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
20,21,Gintama Movie 2 Kanketsu hen Yorozuya yo Eien Nare,"8.90
",https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
21,22,Gintama Shirogane no Tamashii hen Kouhan sen,"8.88
",https://myanimelist.net/anime/37491/Gintama_Shirogane_no_Tamashii-hen_-_Kouhan-sen
22,23,Kusuriya no Hitorigoto,"8.88
",https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto
23,24,Monster,"8.88
",https://myanimelist.net/anime/19/Monster
24,25,Owarimonogatari 2nd Season,"8.87
",https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
25,26,Shingeki no Kyojin The Final Season Kanketsu hen,"8.87
",https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen
26,27,Violet Evergarden Movie,"8.85
",https://myanimelist.net/anime/37987/Violet_Evergarden_Movie
27,28,Kimi no Na wa ,"8.83
",https://myanimelist.net/anime/32281/Kimi_no_Na_wa
28,29,Kingdom 3rd Season,"8.83
",https://myanimelist.net/anime/40682/Kingdom_3rd_Season
29,30,Ore dake Level Up na Ken Season 2 Arise from the Shadow,"8.82
",https://myanimelist.net/anime/58567/Ore_dake_Level_Up_na_Ken_Season_2__Arise_from_the_Shadow
30,31,Vinland Saga Season 2,"8.81
",https://myanimelist.net/anime/49387/Vinland_Saga_Season_2
31,32,Gintama Shirogane no Tamashii hen,"8.81
",https://myanimelist.net/anime/36838/Gintama_Shirogane_no_Tamashii-hen
32,33,Mob Psycho 100 II,"8.79
",https://myanimelist.net/anime/37510/Mob_Psycho_100_II
33,34,Kizumonogatari III Reiketsu hen,"8.78
",https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
34,35,Hajime no Ippo,"8.78
",https://myanimelist.net/anime/263/Hajime_no_Ippo
35,36,Shingeki no Kyojin The Final Season,"8.78
",https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
36,37,Sen to Chihiro no Kamikakushi,"8.77
",https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
37,38,Jujutsu Kaisen 2nd Season,"8.77
",https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season
38,39,Boku no Kokoro no Yabai Yatsu 2nd Season,"8.77
",https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_2nd_Season
